ID,Rule,ArchRuleDSL,Expressibility,Notes
1,"Classes that have name matching ""Dao"" should reside in a package ""..dao.."".","classes().that().haveNameMatching("".*Dao.*"").should().resideInAPackage(""..dao.."")",Fully Expressible,
2,"Classes that in ""..dao.."" should access Classes that are Assignable to ""EntityManager.class""","class [(packagename """"..dao.."""")] should access class [beAssignableTo """"EntityManager.class""""]",Fully Expressible,
3,"Classes that are public should not depend on classes that residing in package ""..service.."".","class [public] should not dependOn class [(packagename """"..service.."""")]",Fully Expressible,
4,"Classes that are public should not depend on classes that are assignable to ""EntityManager"".","class [public] should not dependOn class [beAssignableTo """"EntityManager.class""""]",Fully Expressible,
5,"Classes that in the ""..impl.."" package should not be interfaces.","class [(packagename ""..impl.."")] should not BeInterfaces;",Fully Expressible,
6,"Classes residing in the ""..persistence.."" package should not access any classes in the ""..service.."" package.","class [(packagename ""..persistence.."")] should not access class [(packagename ""..service.."")]",Fully Expressible,
7,"Classes in the ""..service.."" package should only be accessed by classes in the ""..controller.."" or ""..service.."" packages","class [(packagename ""..service.."")] should access class [(packagename ""..controller.."",""..service.."")];",Fully Expressible,
8,"Classes in the ""..service.."" package should access classes that in ""..service.."", ""..persistence.."", or ""java.."" package.","class [(packagename ""..service.."")] should access class [(packagename ""..service.."")]",Fully Expressible,
9,"Classes in the ""..service.."" package should not depend on classes in the ""..controller.."" package","class [(packagename ""..service.."")] should not dependOn class [(packagename ""..controller.."")]",Fully Expressible,
10,"Classes in the ""..service.."" package should only have dependent classes in the ""..controller.."" or ""..service.."" packages.","class [(packagename ""..service.."")] should dependOn class [(packagename ""..controller.."",""..service.."")]",Fully Expressible,
11,"Classes in the ""..service.."" package should only depend on classes in ""..service.."", ""..persistence.."", ""java.."", or ""javax.."" packages","class [(packagename ""..service.."")] should dependOn class [(packagename ""..service.."")]",Fully Expressible,
12,"Classes that In ""..service.."" package should not depend on classes that in package ""..persistence..""","class [(packagename ""..service.."")] should not dependOn class [(packagename ""..persistence.."")]",Fully Expressible,
13,"Classes that In package ""..service.."" should only depend on classes that in package ""..persistence.."" and ""..controller..""","class [(packagename ""..service.."")] should dependOn class [(packagename ""..persistence.."",""..controller.."")]",Fully Expressible,
14,"Classes that have name matching ""Dao"" should only depend on classes that in a package ""..dao.."".","class [haveNameMatching ""Dao""] should dependOn class [(packagename ""..dao.."")]",Fully Expressible,
15,No class should depend on an upper package.,"class [(packagename ""..Package.."")] should dependOn class [(packagename ""..upperPackages.."",""..upperPackages2.."")]",Partially Expressible,The parameters such as Packages and upperPackages must all be specified.
