Ruleset,TN,TP,BenchMark - C,BenchMark - NC,FN,FP,Precision,Recall,F1 Score
Leveled,60,117,60,125,8,0,1,0.936,0.966942149
Leveled_with_attribute,60,107,60,112,5,0,1,0.955357143,0.97716895
Stringed,70,110,77,114,4,7,0.94017094,0.964912281,0.952380952
Attribute-only,30,36,30,38,2,0,1,0.947368421,0.972972973
,,,,,,,,,
,,,,,,,,,
Ruleset,TN,TP,BenchMark - C,BenchMark - NC,FN,FP,Precision,Recall,F1 Score
class,41,89,41,105,16,0,1,0.85,0.92
method,35,47,38,47,0,3,0.94,1,0.97
field,35,38,35,39,1,0,1,0.97,0.99
constructor,35,52,35,52,0,0,1,1,1
codeUnit,39,58,43,58,0,4,0.94,1,0.97
member,35,86,35,88,2,0,1,0.98,0.99
,,,,,,,,,
,,,,,,,,,
Ruleset,Precision,Recall,F1 Score,,,,,,
Leveled,1,0.955357143,0.97716895,,,,,,
Leveled_with_attribute,0.94017094,0.964912281,0.952380952,,,,,,
Stringed,1,0.947368421,0.972972973,,,,,,
Attri…,1,0.936,0.966942149,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,0.02919708,0.014814815,,,,,,
,,0.016666667,0.008403361,,,,,,
,,,,,,,,,
Ruleset,Precision,Recall,F1 Score,,,,,,
class,1,0.85,0.92,,,,,,
method,0.94,1,0.97,,,,,,
field,1,0.97,0.99,,,,,,
constructor,1,1,1,,,,,,
codeUnit,0.94,1,0.97,,,,,,
member,1,0.98,0.99,,,,,,
